equipment_id,equipment_type,temperature,pressure,corrosion_index,usage_hours,last_maintenance_days,vibration_level,gas_leak_detected,critical_failure_risk
238,Pressure Regulator,76.39499252976186,39,26,4205,241,67,0,0
239,Chemical Chamber,55.37682050975804,29,84,2522,107,70,0,1
240,Chemical Chamber,64.41411676806693,158,0,745,70,49,0,0
241,Exhaust Fan,62.43658887666103,186,95,7719,204,26,0,1
242,Valve,79.51855726936738,166,13,2091,28,90,0,1
243,Valve,53.01136208736568,166,58,5329,221,24,0,1
244,Exhaust Fan,39.15076606945447,190,77,3296,102,93,1,1
245,Exhaust Fan,45.48192164796152,89,32,7699,67,20,1,1
246,Exhaust Fan,62.83265969975283,91,35,5938,124,92,1,1
247,Pressure Regulator,36.45688880504914,84,38,3472,289,97,0,0
248,Valve,51.83379022398791,170,75,4847,242,79,1,1
249,Pressure Regulator,61.13124589461297,123,44,6346,12,91,1,1
250,Exhaust Fan,48.50111843034888,79,24,1746,203,57,0,0
251,Valve,64.90279871630001,157,14,3241,220,22,1,1
252,Pressure Regulator,70.86617643522428,82,19,7128,179,35,0,0
253,Pressure Regulator,66.82362899929011,149,33,7160,226,17,1,1
254,Exhaust Fan,36.78742559921659,55,57,6353,214,35,0,0
255,Valve,61.18773281354441,137,59,4419,359,23,0,0
256,Exhaust Fan,62.36163460258125,76,77,6467,268,50,0,1
257,Valve,54.28604822681261,98,29,1854,19,15,1,1
258,Chemical Chamber,64.69966519284557,39,12,850,351,25,0,0
259,Gas Sensor,64.16136863618411,61,77,6874,315,43,1,1
260,Gas Sensor,58.6368714470555,40,92,942,269,49,0,1
261,Gas Sensor,44.93592482980021,185,89,6457,275,21,1,1
262,Exhaust Fan,59.60068571549801,112,66,5767,164,10,1,1
263,Chemical Chamber,88.00396391511619,97,88,3514,214,38,1,1
264,Valve,54.115394564764614,43,90,3528,222,90,1,1
265,Pressure Regulator,75.7095818726401,45,44,3610,269,91,0,0
266,Valve,60.58285530851431,149,39,2403,84,58,0,0
267,Pressure Regulator,47.98906536995462,193,79,2814,231,25,1,1
268,Valve,55.55104952670929,128,37,1605,44,18,1,1
269,Chemical Chamber,59.74694439437848,53,74,5215,76,68,0,1
270,Pressure Regulator,69.82817199418358,188,92,1527,337,48,0,1
271,Exhaust Fan,95.70068173228994,118,46,3954,161,47,0,1
272,Valve,60.8199690902141,162,87,5261,236,15,0,1
273,Valve,41.537111530626646,74,28,5607,308,99,1,1
274,Pressure Regulator,35.18133898082724,22,33,5248,359,90,1,1
275,Exhaust Fan,53.67323146007601,95,10,2842,117,97,0,0
276,Exhaust Fan,43.078681500250696,185,19,4171,90,83,1,1
277,Chemical Chamber,68.36859446308895,198,19,3374,339,68,1,1
278,Exhaust Fan,68.47883585259623,164,72,2708,269,12,1,1
279,Exhaust Fan,57.810368515384695,68,55,2474,254,28,0,0
280,Exhaust Fan,69.86079656849407,168,22,7086,138,36,1,1
281,Gas Sensor,60.97139021653803,107,99,5273,95,34,1,1
282,Chemical Chamber,88.01360693052534,171,90,5709,155,94,1,1
283,Valve,69.3918741953255,59,87,2564,195,75,1,1
284,Pressure Regulator,73.43425614222404,167,24,3905,325,93,0,1
285,Valve,38.27808883769642,123,88,4035,5,32,1,1
286,Chemical Chamber,42.43146829156142,182,32,5217,71,72,0,1
287,Pressure Regulator,67.1825763915671,195,30,1483,104,67,1,1
288,Chemical Chamber,36.76164737690505,180,73,3720,56,59,1,1
289,Exhaust Fan,50.63286235687347,123,78,3376,307,17,1,1
290,Pressure Regulator,77.69118919632582,60,0,3050,312,60,1,1
291,Exhaust Fan,50.312163004418075,63,53,379,170,51,1,1
292,Valve,41.85400940569334,100,15,5274,141,72,1,1
293,Valve,70.01314966958722,103,84,4078,34,40,1,1
294,Pressure Regulator,91.10298369061267,158,58,2370,356,68,1,1
295,Pressure Regulator,47.870322647061926,161,65,2255,53,91,0,1
296,Chemical Chamber,78.36038697214255,189,2,6961,3,99,1,1
297,Chemical Chamber,46.00237550153193,31,14,783,330,97,0,0
298,Exhaust Fan,58.3129832833948,36,31,701,250,60,0,0
299,Pressure Regulator,58.963005904482806,109,49,2143,107,66,1,1
300,Valve,48.270273898770505,44,90,1632,99,14,0,1
301,Chemical Chamber,73.13092967322207,45,99,1060,293,84,1,1
302,Chemical Chamber,36.90418634213842,194,98,3177,180,61,0,1
303,Valve,62.925714152386185,172,59,606,134,97,0,1
304,Chemical Chamber,76.11246867289393,79,87,1922,149,74,0,1
305,Exhaust Fan,71.88245203866306,79,7,1294,301,21,1,1
306,Pressure Regulator,67.36822591178486,46,6,974,133,32,1,1
307,Valve,83.77949089802007,190,3,2415,259,61,0,1
308,Pressure Regulator,56.705739493789714,95,93,4388,276,98,0,1
309,Chemical Chamber,37.12910777074914,39,9,2903,204,72,1,1
310,Chemical Chamber,62.0281032835793,172,59,5399,61,85,0,1
311,Valve,58.113565341679646,174,24,2907,160,12,1,1
312,Exhaust Fan,28.262691434402072,199,41,2217,147,33,1,1
313,Gas Sensor,43.12348109237419,101,46,5249,143,99,1,1
314,Valve,41.21060945524569,29,95,3290,330,88,0,1
315,Gas Sensor,47.78200611730726,197,95,3888,313,51,0,1
316,Gas Sensor,54.73238603851961,49,31,4705,154,30,0,0
317,Exhaust Fan,55.30689058193412,20,73,833,326,94,0,1
318,Gas Sensor,48.31792907094916,73,72,4655,111,94,1,1
319,Gas Sensor,41.19092188149492,23,24,1761,90,34,0,0
320,Exhaust Fan,65.66177563138615,154,88,4653,49,21,1,1
321,Gas Sensor,61.7485779183402,49,15,4762,131,57,1,1
322,Gas Sensor,62.20007247985561,109,48,4234,211,91,1,1
323,Gas Sensor,86.68516829001345,84,15,1069,228,83,1,1
324,Valve,62.443110803096786,143,93,6069,253,79,0,1
325,Valve,54.50013341579251,48,37,361,94,66,1,1
326,Valve,58.41291011368243,172,4,4379,165,38,1,1
327,Exhaust Fan,61.482288317693765,59,6,4715,109,38,0,0
328,Chemical Chamber,69.23690022317047,45,76,7223,60,55,1,1
329,Gas Sensor,59.32919359736039,36,7,7066,98,18,0,0
330,Gas Sensor,30.856186492263205,178,32,7116,187,41,1,1
331,Exhaust Fan,53.4487781512616,27,61,3699,236,22,0,0
332,Gas Sensor,60.0223976304518,88,73,4059,81,62,0,1
333,Valve,79.56302348477472,20,83,485,42,84,1,1
334,Chemical Chamber,48.211565310804204,98,31,6819,151,63,0,0
335,Pressure Regulator,35.47108709069057,90,92,4448,73,38,1,1
336,Gas Sensor,60.96565809841087,65,0,1134,27,60,1,1
337,Valve,72.99355382263069,127,90,6843,81,85,0,1
338,Pressure Regulator,54.09865587896406,118,19,6454,233,58,0,0
339,Chemical Chamber,95.74574230556168,143,54,1639,174,50,0,1
340,Pressure Regulator,92.21247098984459,167,62,5862,273,95,0,1
341,Valve,58.91290928176624,187,77,1906,113,99,0,1
342,Pressure Regulator,62.8006973524983,21,78,6603,250,21,1,1
343,Exhaust Fan,80.53097211312965,90,5,4263,251,44,1,1
344,Pressure Regulator,58.65247909304805,122,51,2574,15,13,0,0
345,Gas Sensor,47.93867224119724,96,1,6068,169,54,0,0
346,Gas Sensor,73.33397859352893,116,92,2156,73,58,1,1
347,Exhaust Fan,66.96619263652944,49,38,4732,270,83,1,1
348,Valve,47.889827819762814,49,31,1700,264,27,0,0
349,Gas Sensor,64.18746255374639,192,50,3787,332,55,1,1
350,Chemical Chamber,57.599092220875825,43,68,7333,67,92,0,0
351,Gas Sensor,54.2235646298645,80,85,4890,259,67,0,1
352,Gas Sensor,48.212405574992374,160,91,5392,132,24,1,1
353,Valve,61.82104667433823,144,31,900,124,67,1,1
354,Pressure Regulator,56.012139496657696,99,92,2169,224,32,1,1
355,Gas Sensor,64.27059865138094,34,2,7309,174,32,0,0
356,Exhaust Fan,72.29756433097465,30,61,3375,270,94,1,1
357,Pressure Regulator,63.47349554146346,159,94,4350,141,35,0,1
358,Chemical Chamber,63.73026899064489,105,12,3694,136,43,1,1
359,Valve,51.88234397748785,108,69,2957,230,50,0,0
360,Chemical Chamber,77.61534021772303,22,20,1585,102,86,0,0
361,Pressure Regulator,47.272060185318495,43,60,4273,302,66,0,0
362,Pressure Regulator,35.82011997287807,108,13,6347,287,34,1,1
363,Pressure Regulator,43.93524779093869,28,88,6222,91,63,1,1
364,Chemical Chamber,75.51395867149309,65,70,6521,209,53,0,0
365,Pressure Regulator,66.88346730297411,113,21,7916,35,22,1,1
366,Chemical Chamber,79.67913934398085,90,31,4914,62,63,1,1
367,Pressure Regulator,40.154227122500465,158,40,4958,152,36,0,0
368,Exhaust Fan,94.8032733040122,29,31,5956,65,17,1,1
369,Pressure Regulator,55.7447372213947,22,41,4252,221,52,1,1
370,Chemical Chamber,33.59484797337913,38,51,438,346,79,0,0
371,Gas Sensor,92.93674750463478,149,93,373,300,86,1,1
372,Pressure Regulator,40.34846607690995,164,80,7151,355,93,0,1
373,Gas Sensor,54.0315642972418,149,53,7947,51,64,1,1
374,Exhaust Fan,56.913716393405004,163,61,4061,108,73,1,1
375,Valve,66.66124713750493,132,84,1992,344,14,1,1
376,Exhaust Fan,48.13044786099953,157,89,3856,174,68,1,1
377,Pressure Regulator,75.58969843163666,62,42,4628,289,36,0,0
378,Gas Sensor,71.30454254266114,77,2,6853,192,28,0,0
379,Gas Sensor,60.28600229670699,132,37,2538,357,74,1,1
380,Chemical Chamber,79.86494151692244,141,80,2021,167,77,1,1
381,Gas Sensor,58.982149187428924,171,38,6108,244,75,1,1
382,Chemical Chamber,55.86531219736939,104,69,3513,255,35,1,1
383,Valve,89.97154149988248,125,84,1383,58,42,1,1
384,Pressure Regulator,64.43604063434832,163,44,4191,26,47,0,1
385,Chemical Chamber,45.21522925810997,119,45,7952,117,16,1,1
386,Valve,47.24596079704789,118,12,2321,242,14,1,1
387,Gas Sensor,60.28437210979128,28,51,1847,230,18,1,1
388,Gas Sensor,24.03002586206451,25,8,3366,331,22,0,0
389,Valve,50.505158021773674,127,56,5996,253,49,0,0
390,Gas Sensor,58.49409017299678,171,68,7221,93,57,0,1
391,Valve,57.49203719523425,157,42,3612,221,55,0,0
392,Chemical Chamber,41.138351283850334,101,6,6515,195,73,1,1
393,Chemical Chamber,53.272263128402024,46,43,3478,201,73,0,0
394,Valve,77.69705845748078,138,43,4503,227,38,0,0
395,Chemical Chamber,74.59723245514331,119,94,5868,57,27,1,1
396,Chemical Chamber,61.43424592093536,22,67,2742,70,39,0,0
397,Chemical Chamber,58.96635035413513,57,76,655,248,83,1,1
398,Exhaust Fan,57.575598773071555,93,43,2354,73,28,0,0
399,Pressure Regulator,63.54465093892385,92,78,1240,255,57,0,1
400,Gas Sensor,61.53853267011765,36,39,6121,264,18,0,0
401,Exhaust Fan,64.8621145630654,125,76,6248,91,94,1,1
402,Chemical Chamber,67.52691262408284,67,42,3904,126,10,0,0
403,Valve,41.83338766219199,196,61,6161,290,99,1,1
404,Chemical Chamber,55.345969625779496,190,42,6742,240,87,0,1
405,Pressure Regulator,62.96868614844297,103,89,5845,325,48,0,1
406,Chemical Chamber,45.51247384914686,26,18,1885,10,64,1,1
407,Valve,49.89267968460928,145,48,7568,212,61,0,0
408,Pressure Regulator,56.73154938572146,168,64,7692,22,80,0,1
409,Chemical Chamber,57.467480126451775,172,76,6231,157,73,1,1
410,Pressure Regulator,63.249041803369714,100,24,1213,159,33,1,1
411,Gas Sensor,47.27953855563068,175,83,3199,262,36,0,1
412,Gas Sensor,74.52030682342101,71,40,5145,110,75,1,1
413,Chemical Chamber,57.34386164236759,32,22,3715,263,75,1,1
414,Pressure Regulator,62.177965524081,53,57,1340,353,71,1,1
415,Valve,54.45251337478167,146,87,3992,13,25,0,1
416,Chemical Chamber,63.5347612528877,124,42,170,63,21,0,0
417,Gas Sensor,85.06831739160945,151,39,4225,24,49,1,1
418,Gas Sensor,54.3132173608061,63,29,7523,350,99,0,0
419,Chemical Chamber,51.83255468370469,145,33,2968,353,19,0,0
420,Pressure Regulator,47.54766667533477,162,9,4866,340,73,1,1
421,Gas Sensor,59.10567225475307,27,59,5615,19,64,0,0
422,Pressure Regulator,58.93194479595427,133,0,1644,339,88,1,1
423,Gas Sensor,60.77164521897273,24,11,5189,230,98,1,1
424,Gas Sensor,67.02383819604474,105,45,2470,88,13,0,0
425,Exhaust Fan,65.13252160571109,92,92,2517,69,99,0,1
